COD_VAR;LIB_VAR;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CONV_COLL;Convention collective redressée par la Dares;0025;Convention collective locale des industries du peigne de la vallée de l'hers et du touyre;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0029;Convention collective nationale des établissements privés d'hospitalisation, de soins, de cure et de garde à but non lucratif (fehap, convention de 1951);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0035;Soierie sud est etam;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0039;Courtiers valeurs mobilieres paris;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0043;Convention collective des entreprises de commission, de courtage et de commerce intracommunautaire et d'importation-exportation de france métropolitaine;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0043;Convention collective nationale des entreprises de commission, de courtage et de commerce intracommunautaire et d'importation-exportation de france métropolitaine;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0044;Convention collective nationale des industries chimiques et connexes;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0045;Convention collective nationale du caoutchouc;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0050;Commerce aveyron rodez;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0052;Boulangerie garonne haute;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0054;Convention collective des ouvriers, employés, techniciens et agents de maîtrise des industries métallurgiques, mécaniques et connexes de la région parisienne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0054;Convention collective régionale des ouvriers, employés, techniciens et agents de maîtrise des industries métallurgiques, mécaniques et connexes de la région parisienne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0057;Convention collective des tisseurs à domicile rubanier de la région de saint-etienne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0071;Convention collective départementale du bâtiment du finistère;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0073;Convention collective nationale de travail des professeurs de l'enseignement secondaire privé laïc;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0076;Convention collective du bâtiment de la charente;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0080;Convention collective du bâtiment et des travaux publics de la moselle;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0083;Convention collective nationale des menuiseries charpentes et constructions industrialisées et des portes planes;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0086;Convention collective nationale des entreprises de publicité et assimilées;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0087;Convention collective nationale des ouvriers des industries de carrières et de matériaux;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0112;Convention collective nationale de l'industrie laitière;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0113;Refractaires produits rhone givors;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0119;Convention collective des industries metallurgiques, metalliques et mecaniques du departement de la haute-saone et des industries qui s'y rattachent;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0120;Commerce cher bourges detail non alimentaire;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0131;Convention collective locale de la tapisserie d'art d'aubusson-felletin;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0132;Convention collective départementale des ouvriers du bâtiment de la marne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0134;Convention collective départementale des ouvriers du bâtiment des hautes-pyrénées;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0135;Convention collective nationale des employés techniciens et agents de maîtrise des industries de carrières et de matériaux;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0137;Convention collective du bâtiment et des travaux publics de l'indre-et-loire;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0140;Convention collective départementale du bâtiment du puy-de-dôme;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0142;Convention collective départementale des ouvriers du bâtiment de la haute-saône;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0146;Convention collective départementale des ouvriers du bâtiment et des travaux publics de la nièvre;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0149;Convention collective départementale des ouvriers du bâtiment de la vienne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0152;Convention collective départementale des ouvriers du bâtiment de l'yonne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0155;Sacs papier vienne haute et junien;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0157;Convention collective des ouvriers du bâtiment et des travaux publics des vosges;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0158;Convention collective nationale du travail mécanique du bois, des scieries, du négoce et de l'importation des bois;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0161;Convention collective nationale de la verrerie travaillée mécaniquement au chalumeau;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0162;Commerce gros alimentaire somme;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0171;Convention collective départementale des ouvriers du bâtiment et des travaux publics de seine-et-marne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0172;Convention collective interrégionale de l'industrie du bois de pin maritime en forêt de gascogne (charente, aquitaine);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0172;Convention collective interrégionale de l'industrie du bois de pin maritime en forêt de gascogne (charente, aquitaine) (annexée à la convention collective nationale du travail mécanique du bois, des scieries, du négoce et de l'importation des bois 0158);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0176;Convention collective nationale de l'industrie pharmaceutique;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0179;Cooperatives de consommation;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0184;Convention collective nationale de l'imprimerie de labeur et des industries graphiques;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0189;Hotellerie rhone;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0190;Convention collective départementale des ouvriers du bâtiment de l'ille-et-vilaine;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0192;Convention collective des ouvriers du bâtiment et des travaux publics du doubs;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0193;Vins spiritueux loire atlantique;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0194;Convention collective dans l'industrie du bâtiment pour le département du cantal;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0200;Convention collective nationale des exploitations frigorifiques;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0201;Renseignements commerce agences cadres;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0207;Convention collective nationale de l'industrie des cuirs et peaux;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0207;Convention collective nationale de l'industrie des cuirs et peaux (annexée à la convention collective nationale de travail des industries de la maroquinerie, articles de voyage, chasse sellerie, gainerie, bracelets en cuir 2528);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0208;Convention collective départementale des ouvriers du bâtiment du territoire de belfort;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0210;Commerce ille & vilaine st malo detail non alim;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0211;Convention collective nationale des cadres des industries de carrières et matériaux (unicem);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0214;Convention collective des ouvriers des entreprises de presse de la région parisienne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0214;Convention collective régionale des ouvriers des entreprises de presse de la région parisienne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0218;Convention collective nationale des organismes de sécurité sociale;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0232;Commerce somme detail alimentaire;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0233;Convention collective départementale des maîtres et artisans tailleurs de la loire-atlantique;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0240;Convention collective nationale du personnel des greffes des tribunaux de commerce;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0246;Notariat alsace;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0247;Convention collective nationale des industries de l'habillement;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0252;Convention collective départementale des ouvriers du bâtiment et des travaux publics de l'ain;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0275;Convention collective nationale du personnel au sol des entreprises de transport aérien;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0276;Commerce vienne haute;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0279;Convention collective des ouvriers du bâtiment et des travaux publics pour le département de l'allier;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0285;Convention collective de travail des instituteurs et institutrices de l'enseignement privé laïc du premier degré;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0292;Convention collective nationale de la plasturgie (transformation des matières plastiques);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0303;Convention collective régionale de la couture parisienne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0306;Convention collective des cadres techniques de la presse quotidienne parisienne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0306;Convention collective régionale des cadres techniques de la presse quotidienne parisienne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0311;Convention collective départementale de la couture de la loire-atlantique;CHAR;4
