COD_VAR;LIB_VAR;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CONV_COLL;Convention collective redressée par la Dares;7002;Convention collective nationale des coopératives et sica de céréales, de meunerie, d'approvisionnement et d'alimentation du bétail et d'oléagineux;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7003;Coopératives et sica conserves;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7003;Convention collective nationale des coopératives agricoles, union de coopératives agricoles et sica fabriquant des conserves de fruits et de légumes, des plats cuisinés et des spécialités;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7004;Coopératives et sica laitières;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7004;Convention collective nationale des coopératives laitières, unions de coopératives laitières et sica laitières;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7005;Caves coopératives vinicoles;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7005;Convention collective nationale des caves coopératives et de leurs unions élargie aux sica vinicoles;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7006;Coopératives et sica fleurs fruits légumes;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7006;Convention collective nationale des coopératives, unions de coopératives agricoles et sica de fleurs, de fruits et légumes et de pommes de terre;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7007;Coopératives et sica teillage de lin;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7007;Convention collective nationale des coopératives, unions de coopératives agricoles et sica de teillage de lin;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7008;Organismes de contrôle laitier;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7008;Convention collective nationale du personnel des organismes de contrôle laitier;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7009;Accouvage et sélection avicoles;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7009;Convention collective nationale des entreprises d'accouvage et de sélection de produits avicoles;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7010;Aquaculture;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7010;Convention collective nationale du personnel des élévages aquacoles;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7012;Centres équestres;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7012;Convention collective nationale des centres équestres;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7013;Entraînement chevaux de courses au trot;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7013;Convention collective nationale des établissements d'entraînement des chevaux de courses au trot;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7014;Entraînement chevaux de courses au galop;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7014;Convention collective nationale des établissements d'entraînement des chevaux de courses au galop;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7015;Gardes chasse et gardes peche;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7016;Jardiniers et jardiniers gardiens;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7017;Parcs et jardins zoologiques;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7017;Convention collective nationale des parcs et jardins zoologiques ouverts au public;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7018;Paysagistes;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7018;Convention collective nationale des entreprises du paysage;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7019;Conchyliculture;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7019;Convention collective nationale de la conchyliculture;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7020;Convention collective nationale du réseau des centres d'économie rurale;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7021;Sélection et reproduction animale;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7021;Convention collective nationale des entreprises relevant de la sélection et de la reproduction animale;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7023;Convention collective nationale des entreprises agricoles de déshydratation;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7024;Convention collective nationale pa/cuma;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7501;Crédit agricole;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7501;Convention collective nationale des caisses régionales du crédit agricole;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7502;Mutualité sociale agricole;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7502;Convention collective nationale de la mutualité sociale agricole;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7503;Distilleries coopératives viticoles;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7503;Convention collective nationale des distilleries coopératives viticoles et sica de distillation;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7505;Personnel de formation de l'enseignement prive agricole;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7506;Personnel de la vie scolaire de l'enseignement prive agricole;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7507;Personnel administratif technique de l'enseignement prive agricole;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7508;Maisons familiales rurales;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7508;Convention collective nationale des maisons familiales rurales, instituts ruraux et centres;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7509;Organismes de formation agricole;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7509;Convention collective nationale des organismes de formation et de promotion agricoles;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7510;Personnel des adasea;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7511;Personnel des asavpa;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7511;Convention collective nationale du personnel des asavpa;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7513;Centres initiatives en milieu rural;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7513;Convention collective nationale des centres d'initiatives pour valoriser l'agriculture et le milieu rural;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7514;Organismes de la confédération paysanne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7514;Convention collective nationale des organismes de la confédération paysanne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7515;Aménagement foncier et établissement rural safer;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7515;Convention collective nationale des sociétés d'aménagement foncier et d'établissement rural (safer);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7516;Organismes de contrôle laitier directeur;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7519;Coopératives agricoles cadres dirigeants;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7520;Enseignement agricole privé personnel de formation;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;7520;Convention collective nationale de l'enseignement agricole privé (cneap);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8112;Polyculture île-de-france non cadres;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8112;Convention collective régionale de la polyculture île-de-france non cadres;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8113;Arboriculture maraîchage île-de-france;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8113;Convention collective régionale de l'arboriculture maraîchage île-de-france;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8115;Hippodromes île-de-france cabourg caen chantilly deauville;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8115;Convention collective régionale des hippodromes île-de-france cabourg caen chantilly deauville;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8116;Polyculture île-de-france cadres;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8116;Convention collective régionale de la polyculture île-de-france cadres;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8117;Exploitations polyculture élev cuma seine et marne etar ile de france;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8117;Convention collective régionale des exploitations polyculture élev cuma seine et marne etar ile de france;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8211;Exploitations forestières champagne ardenne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8211;Convention collective régionale des exploitations forestières champagne ardenne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8212;Scieries champagne ardenne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8212;Convention collective régionale des scieries champagne ardenne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8214;Etar aube marne polyculture marne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8214;Convention collective régionale des etar aube marne polyculture marne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8215;Déshydratation champagne ardenne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8216;Viticulture champagne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8216;Convention collective régionale de la viticulture champagne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8231;Exploitations forestières haute normandie;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8231;Convention collective régionale des exploitations forestières haute normandie;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8233;Etar haute normandie;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8233;Convention collective régionale des etar haute normandie;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8234;Horticulture haute normandie;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8234;Convention collective régionale de l'horticulture et pépiniéristes haute normandie;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8241;Exploitations forestières scieries centre;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8241;Convention collective régionale des exploitations forestières scieries centre;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8251;Exploitations forestières scieries calvados manche orne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8251;Convention collective régionale des exploitations forestières scieries calvados manche orne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8252;Travaux agricoles basse normandie;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8252;Convention collective régionale des travaux agricoles basse normandie;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8262;Exploitations agricoles côte d'or nièvre yonne etar cuma côte d'or;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8262;Convention collective régionale des exploitations agricoles côte d'or nièvre yonne etar cuma côte d'or;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8311;Exploitations forestières scieries nord pas de calais;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8311;Convention collective régionale des exploitations forestières scieries nord pas de calais;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8313;Etar nord pas de calais;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8313;Convention collective régionale des etar nord pas de calais;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8411;Exploitations forestières meurthe et moselle vosges;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8412;Scieries agricoles alsace lorraine;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8412;Convention collective régionale des scieries agricoles alsace lorraine;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8414;Maraîchère meurthe et moselle moselle;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8414;Convention collective régionale maraîchère meurthe et moselle meuse moselle et vosges;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8415;Convention collective régionale des exploitations forestières lorraine;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8416;Convention collective régionale de polyculture lorraine;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8422;Polyculture alsace;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8422;Convention collective régionale de polyculture alsace;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8431;Exploitations forestières doubs jura;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8431;Convention collective régionale des exploitations forestières doubs jura haute-saône territoire de belfort;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8432;Scieries agricoles franche comté;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8432;Convention collective régionale des scieries agricoles franche comté;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8433;Horticulture franche comté;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8433;Convention collective régionale de l'horticulture franche comté;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8434;Culture cuma etar franche comté;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8434;Convention collective régionale des cultures cuma etar franche comté;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8435;Coopératives fruitières ain doubs jura;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8435;Convention collective régionale des coopératives fruitières ain doubs jura;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8522;Exploitations forestières scieries pays de la loire;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8522;Convention collective régionale des exploitations forestières scieries pays de la loire;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8525;Etar pays de la loire;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8525;Convention collective régionale des etar pays de la loire;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8526;Arboriculture fruitière ouest de la france;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8526;Convention collective régionale de l'arboriculture fruitière ouest de la france;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8531;Exploitations forestières scieries bretagne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8531;Convention collective régionale des exploitations forestières scieries bretagne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8532;Etar bretagne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8532;Convention collective régionale des etar bretagne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8534;Maraîchère ille et vilaine morbihan;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8534;Convention collective régionale maraîchère ille et vilaine morbihan;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8535;Cuma bretagne pays de la loire;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8535;Convention collective régionale des cuma bretagne pays de la loire;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8541;Exploitations forestières scieries poitou charentes;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8541;Convention collective régionale des exploitations forestières scieries poitou charentes;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8542;Etar vienne deux sèvres production agricole vienne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8542;Convention collective régionale des etar vienne deux sèvres production agricole vienne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8721;Exploitations forestières scieries massif gascogne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8721;Convention collective régionale des exploitations forestières scieries massif gascogne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8722;Gemmage forêt gascogne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8722;Convention collective régionale de gemmage forêt gascogne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8723;Entretien forestier gascogne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8723;Convention collective régionale de l'entretien forestier gascogne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8731;Exploitations forestières scieries midi pyrénées;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8731;Convention collective régionale des exploitations forestières scieries midi pyrénées;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8733;Cuma tarn haute garonne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8733;Convention collective régionale des cuma tarn haute garonne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8734;Horticulture midi pyrénées;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8734;Convention collective régionale de l'horticulture midi pyrénées;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8741;Exploitations forestières limousin;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8741;Convention collective régionale des exploitations forestières limousin;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8822;Exploitations forestières scieries rhône alpes;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8822;Convention collective régionale des exploitations forestières scieries rhône alpes;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8825;Polyculture cuma rhône alpes cadres;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8825;Convention collective régionale de polyculture cuma rhône alpes cadres;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8826;Exploitations trav agricoles cuma savoie hte savoie;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8826;Convention collective régionale des exploitations trav agricoles cuma savoie hte savoie;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8831;Exploitations forestières scieries auvergne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8831;Convention collective régionale des exploitations forestières scieries auvergne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8832;Polyculture cuma haute loire lozère;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8832;Convention collective régionale de polyculture cuma haute loire lozère;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8912;Etar languedoc roussillon;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;8912;Convention collective régionale des etar languedoc roussillon;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9011;Exploitations agricoles ain;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9011;Convention collective départementale des exploitations agricoles ain;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9021;Exploitations polyculture aisne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9021;Convention collective départementale des exploitations polyculture aisne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9031;Exploitations polyculture allier;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9032;Exploitations horticoles allier;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9032;Convention collective départementale des exploitations agricoles allier;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9041;Exploitations agricoles alpes de haute provence;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9041;Convention collective départementale des exploitations agricoles alpes de haute provence;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9051;Exploitations polyculture hautes alpes;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9051;Convention collective départementale des exploitations polyculture hautes alpes;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9061;Exploitations polyculture alpes maritimes;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9061;Convention collective départementale des exploitations polyculture alpes maritimes;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9071;Exploitations agricoles ardèche;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9071;Convention collective départementale des exploitations agricoles ardèche;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9081;Exploitations polyculture ardennes;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9081;Convention collective départementale des exploitations polyculture ardennes;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9091;Exploitations agricoles ariège;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9091;Convention collective départementale des exploitations agricoles ariège;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9101;Exploitations polyculture aube;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9101;Convention collective départementale des exploitations polyculture aube;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9111;Exploitations agricoles zone céréalière aude;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9111;Convention collective départementale des exploitations agricoles zone céréalière aude;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9112;Exploitations agricoles zone viticole aude;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9112;Convention collective départementale des exploitations agricoles zone viticole aude;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9121;Exploitations agricoles aveyron;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9121;Convention collective départementale des exploitations agricoles aveyron;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9131;Exploitations agricoles bouches du rhône exécutants;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9131;Convention collective départementale des exploitations agricoles bouches du rhône;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9132;Exploitations agricoles bouches du rhône cadres;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9141;Exploitations polyculture et cuma calvados;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9141;Convention collective départementale des exploitations polyculture et cuma calvados;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9142;Exploitations horticoles fruits calvados;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9142;Convention collective départementale des exploitations horticoles fruits calvados;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9151;Exploitations polyculture cantal;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9151;Convention collective départementale des exploitations polyculture cantal;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9161;Exploitations agricoles charente;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9161;Convention collective départementale des exploitations agricoles charente;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9171;Exploitations polyculture charente maritime;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9171;Convention collective départementale des exploitations polyculture charente maritime;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9172;Conchyliculture marennes oleron;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9181;Exploitations polyculture cher;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9181;Convention collective départementale des exploitations polyculture cher;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9191;Exploitations agricoles corrèze;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9191;Convention collective départementale des exploitations agricoles corrèze;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9201;Exploitations agricoles corse du sud;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9201;Convention collective départementale des exploitations agricoles corse du sud;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9202;Exploitations agricoles haute corse;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9202;Convention collective départementale des exploitations agricoles haute corse;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9211;Exploitations forestières scieries côte d'or;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9211;Convention collective départementale des exploitations forestières scieries côte d'or;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9221;Exploitations polyculture côtes d'armor;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9221;Convention collective départementale des exploitations polyculture côtes d'armor;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9222;Exploitations pépinières horticulture côtes d'armor;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9222;Convention collective départementale des exploitations pépinières horticulture côtes d'armor;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9231;Exploitations agricoles creuse;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9231;Convention collective départementale des exploitations agricoles creuse;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9232;Exploitations pépinières sylvicoles creuse;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9232;Convention collective départementale des exploitations pépinières sylvicoles creuse;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9241;Exploitations agricoles dordogne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9241;Convention collective départementale des exploitations agricoles dordogne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9261;Exploitations agricoles drôme;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9261;Convention collective départementale des exploitations agricoles drôme;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9272;Exploitations polyculture eure non cadres;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9272;Convention collective départementale des exploitations polyculture eure non cadres;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9281;Exploitations polyculture, élevage et cuma eure et loir;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9281;Convention collective départementale des exploitations polyculture, élevage et cuma eure et loir;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9283;Exploitations horticoles fruitières jardinerie eure et loire;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9283;Convention collective départementale des exploitations horticoles fruitières jardinerie eure et loire;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9291;Exploitations polyculture, élevage et maraîchage finistère;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9291;Convention collective départementale des exploitations polyculture, élevage et maraîchage finistère;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9301;Exploitations agricoles gard;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9301;Convention collective départementale des exploitations agricoles gard;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9311;Exploitations agricoles haute garonne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9311;Convention collective départementale des exploitations agricoles haute garonne;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9321;Exploitations agricoles gers;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9321;Convention collective départementale des exploitations agricoles gers;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9331;Exploitations agricoles gironde;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9331;Convention collective départementale des exploitations agricoles gironde;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9341;Exploitations agricoles hérault;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9341;Convention collective départementale des exploitations agricoles hérault;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9351;Exploitations polyculture, élevage et cuma ille et vilaine;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9351;Convention collective départementale des exploitations polyculture, élevage et cuma ille et vilaine;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9352;Exploitations pépinières horticulture ille et vilaine;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9352;Convention collective départementale des exploitations pépinières horticulture ille et vilaine;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9361;Exploitations polyculture, élevage et cuma indre;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9361;Convention collective départementale des exploitations polyculture, élevage et cuma indre;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9371;Exploitations polyculture, élevage viticulture indre et loire;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9371;Convention collective départementale des exploitations polyculture, élevage viticulture indre et loire;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9372;Exploitations pépinières horticulture indre et loire;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9372;Convention collective départementale des exploitations pépinières horticulture indre et loire;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9374;Exploitations arboriculture fruitière indre et loire;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9374;Convention collective départementale des exploitations arboriculture fruitière indre et loire;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9383;Exploitations agricoles cuma isère;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9383;Convention collective départementale des exploitations agricoles cuma isère;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9401;Exploitations agricoles landes;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9401;Convention collective départementale des exploitations agricoles landes;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9411;Exploitations agricoles loir et cher;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9411;Convention collective départementale des exploitations agricoles loir et cher;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9412;Etar cuma loir et cher;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9412;Convention collective départementale des etar cuma loir et cher;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9413;Exploitations pépinières horticulture loir et cher;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9413;Convention collective départementale des exploitations pépinières horticulture loir et cher;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9421;Exploitations agricoles loire;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;9421;Convention collective départementale des exploitations agricoles loire;CHAR;4
